103.1.70.66; 103.1.70.66; /beginner/droidsev3.pptx; 11/Oct/2014:06:56:20;  103.1.70.66;   5.2999,100.2605;   Bayan Lepas;   Pulau Pinang
c-98-245-229-224.hsd1.co.comcast.net; 0.0.0.0; /beginner/EV3robot.pdf; 11/Oct/2014:14:51:39; None; None; None; None
c-98-245-229-224.hsd1.co.comcast.net; 0.0.0.0; /beginner/EV3robot.pdf; 11/Oct/2014:14:51:39; None; None; None; None
c-98-245-229-224.hsd1.co.comcast.net; 0.0.0.0; /beginner/EV3robot.pdf; 11/Oct/2014:14:51:40; None; None; None; None
c-98-245-229-224.hsd1.co.comcast.net; 0.0.0.0; /beginner/EV3robot.pdf; 11/Oct/2014:14:51:40; None; None; None; None
c-98-245-229-224.hsd1.co.comcast.net; 0.0.0.0; /beginner/EV3robot.pdf; 11/Oct/2014:14:51:41; None; None; None; None
c-98-245-229-224.hsd1.co.comcast.net; 0.0.0.0; /beginner/EV3robot.pdf; 11/Oct/2014:14:51:41; None; None; None; None
c-98-245-229-224.hsd1.co.comcast.net; 0.0.0.0; /beginner/EV3robot.pdf; 11/Oct/2014:14:51:41; None; None; None; None
c-98-245-229-224.hsd1.co.comcast.net; 0.0.0.0; /beginner/EV3robot.pdf; 11/Oct/2014:14:51:41; None; None; None; None
c-98-245-229-224.hsd1.co.comcast.net; 0.0.0.0; /beginner/EV3robot.pdf; 11/Oct/2014:14:51:41; None; None; None; None
c-98-245-229-224.hsd1.co.comcast.net; 0.0.0.0; /beginner/EV3robot.pdf; 11/Oct/2014:14:51:41; None; None; None; None
c-98-245-229-224.hsd1.co.comcast.net; 0.0.0.0; /beginner/EV3robot.pdf; 11/Oct/2014:14:51:42; None; None; None; None
c-98-245-229-224.hsd1.co.comcast.net; 0.0.0.0; /beginner/EV3robot.pdf; 11/Oct/2014:14:51:42; None; None; None; None
c-98-245-229-224.hsd1.co.comcast.net; 0.0.0.0; /beginner/EV3robot.pdf; 11/Oct/2014:14:51:42; None; None; None; None
c-98-245-229-224.hsd1.co.comcast.net; 0.0.0.0; /beginner/EV3robot.pdf; 11/Oct/2014:14:51:42; None; None; None; None
